model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,pep,16,15-19,Conus,True,0
baseline_esm2,2,pep,16,15-19,Conus,True,0
baseline_esm2,2,pep,15,15-19,Conus,True,0
baseline_esm2,2,propep,9,5-9,Prochlorococcus,False,0
baseline_esm2,2,propep,9,5-9,Prochlorococcus,False,0
baseline_esm2,2,propep,10,10-14,Prochlorococcus,False,0
baseline_esm2,2,propep,10,10-14,Prochlorococcus,False,0
baseline_esm2,2,pep,29,25-29,Conus,True,0
baseline_esm2,2,propep,9,5-9,Prochlorococcus,False,0
baseline_esm2,2,propep,8,5-9,Loxosceles,False,1
baseline_esm2,2,propep,48,45-50,Salinispora,False,1
baseline_esm2,2,propep,10,10-14,Synechococcus,False,1
baseline_esm2,2,propep,10,10-14,Synechococcus,False,0
baseline_esm2,2,propep,49,45-50,Homo,False,1
baseline_esm2,2,propep,26,25-29,Parabacteroides,False,0
baseline_esm2,2,pep,17,15-19,Conus,False,1
baseline_esm2,2,propep,27,25-29,Conus,False,1
baseline_esm2,2,pep,17,15-19,Conus,True,0
baseline_esm2,2,propep,20,20-24,Demansia,False,1
baseline_esm2,2,propep,47,45-50,Demansia,False,0
baseline_esm2,2,propep,20,20-24,Demansia,False,1
baseline_esm2,2,propep,45,45-50,Demansia,False,0
baseline_esm2,2,pep,9,5-9,Anoplius,False,0
baseline_esm2,2,propep,26,25-29,Pleurotus,False,0
baseline_esm2,2,propep,23,20-24,Saccharomyces,False,1
baseline_esm2,2,propep,25,25-29,Saccharomyces,False,1
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,28,25-29,Nematostella,False,1
baseline_esm2,2,propep,16,15-19,Bacillus,False,0
baseline_esm2,2,propep,16,15-19,Bacillus,False,0
baseline_esm2,2,propep,9,5-9,Prochlorococcus,False,0
baseline_esm2,2,propep,15,15-19,Bacillus,False,0
baseline_esm2,2,propep,23,20-24,Alopecosa,False,1
baseline_esm2,2,propep,23,20-24,Alopecosa,False,1
baseline_esm2,2,propep,23,20-24,Alopecosa,False,1
baseline_esm2,2,propep,23,20-24,Alopecosa,False,1
baseline_esm2,2,propep,35,35-39,Mycetinis,False,1
baseline_esm2,2,propep,39,35-39,Mycetinis,False,0
baseline_esm2,2,propep,8,5-9,Microcystis,False,0
baseline_esm2,2,propep,32,30-34,Aspergillus,False,1
baseline_esm2,2,propep,33,30-34,Aspergillus,False,1
baseline_esm2,2,propep,29,25-29,Aspergillus,False,0
baseline_esm2,2,propep,24,20-24,Aspergillus,False,1
baseline_esm2,2,pep,35,35-39,Chilobrachys,False,0
baseline_esm2,2,propep,25,25-29,Chilobrachys,False,1
baseline_esm2,2,propep,8,5-9,Crocosphaera,False,0
baseline_esm2,2,propep,8,5-9,Picosynechococcus,False,0
baseline_esm2,2,pep,9,5-9,Epichloe,True,1
baseline_esm2,2,pep,9,5-9,Epichloe,True,1
baseline_esm2,2,pep,9,5-9,Epichloe,True,1
baseline_esm2,2,pep,9,5-9,Epichloe,True,1
baseline_esm2,2,propep,20,20-24,Epichloe,True,1
baseline_esm2,2,propep,18,15-19,Epichloe,True,1
baseline_esm2,2,propep,18,15-19,Epichloe,True,1
baseline_esm2,2,propep,18,15-19,Epichloe,True,1
baseline_esm2,2,propep,8,5-9,Nostoc,False,0
baseline_esm2,2,propep,8,5-9,Loxosceles,False,1
baseline_esm2,2,propep,8,5-9,Loxosceles,True,1
baseline_esm2,2,propep,8,5-9,Loxosceles,True,1
baseline_esm2,2,propep,8,5-9,Loxosceles,False,1
baseline_esm2,2,propep,28,25-29,Porphyromonas,False,1
