model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,pep,29,25-29,Odontomachus,False,0
baseline_esm2,2,propep,14,10-14,Odontomachus,False,0
baseline_esm2,2,pep,36,35-39,Odontomachus,False,1
baseline_esm2,2,propep,22,20-24,Odontomachus,False,0
baseline_esm2,2,pep,17,15-19,Odontomachus,False,1
baseline_esm2,2,propep,18,15-19,Odontomachus,False,1
baseline_esm2,2,pep,29,25-29,Odontomachus,False,0
baseline_esm2,2,propep,14,10-14,Odontomachus,False,0
baseline_esm2,2,pep,25,25-29,Odontomachus,False,0
baseline_esm2,2,propep,18,15-19,Odontomachus,False,0
baseline_esm2,2,pep,11,10-14,Conus,False,1
baseline_esm2,2,propep,27,25-29,Conus,False,1
